,0
1526,2.1
1527,14.2
1528,8.1
1529,21.2
1530,32.0
1531,3.46
1532,23.4
1533,1.46
1534,11.9
1535,4.27
1536,7.02
1537,0.4
1538,0.775
1539,6.1
1540,2.8
1541,1.1
1542,51.3
1543,2.0
1544,1.3
1545,3.33
1546,2.05
1547,7.73
1548,28.8
1549,43.0
1550,0.69
1551,1.83
1552,2.05
1553,4.05
1554,9.4
1555,44.2
1556,9.5
1557,17.0
1558,1.25
1559,15.0
1560,37.9
1561,24.7
1562,50.0
1563,1.84
1564,1.12
1565,4.89
1566,6.4
1567,4.12
1568,4.69
1569,40.8
1570,0.882
1571,6.42
1572,9.63
1573,1.97
1574,1.93
1575,10.8
1576,0.423
1577,0.508
1578,0.73
1579,33.8
1580,1.34
1581,6.0
1582,0.632
1583,33.0
1584,2.91
1585,1.09
1586,3.47
1587,1.83
1588,10.54
1589,0.172
1590,5.39
1591,1.68
1592,1.2
1593,2.39
1594,0.625
1595,4.4
1596,1.68
1597,6.3e-05
1598,7.000000000000002e-06
1599,2e-05
1600,0.00015
1601,0.00042
1602,4e-05
1603,5.76e-05
1604,0.000157
1605,0.0029
1606,0.000252
1607,0.00011499999999999999
1608,6.95e-05
1609,0.00011999999999999999
1610,8e-05
1611,6.35e-05
1612,3.17e-05
1613,0.00025
1614,0.000265
1615,5.9999999999999995e-05
1616,0.00011999999999999999
1617,0.0011
1618,0.001
1619,0.0003
1620,0.00011
1621,0.0005149999999999999
1622,5e-05
1623,7.099999999999999e-05
1624,3.39e-05
1625,0.00015900000000000002
1626,0.00021
1627,0.033
1628,0.005699999999999999
1629,0.00045
1630,0.0027
1631,5.9999999999999995e-05
1632,2.8000000000000006e-05
1633,6e-05
1634,1.9e-05
1635,0.00017999999999999998
1636,2e-05
1637,0.00436
1638,8.999999999999999e-05
1639,0.0028
1640,0.033
1641,2.9999999999999997e-05
1642,8.94e-05
1643,0.0052
1644,0.00014
1645,0.00049
1646,0.00031
1647,0.032
1648,6.6e-05
1649,8.999999999999999e-05
1650,6.05e-05
1651,8.7e-05
1652,1.4e-05
1653,0.00207
1654,1.51e-05
1655,8.170000000000001e-05
1656,3.1e-05
1657,2.7e-05
1658,3.3e-05
1659,0.003
1660,4.2e-05
1661,4e-05
1662,0.000121
1663,7.5e-05
1664,0.00011999999999999999
1665,0.0002
1666,0.00018999999999999998
1667,0.00091
1668,3.2e-05
1669,6.6e-05
1670,0.00016
1671,3.2e-05
1672,7.999999999999999e-05
1673,0.00491
1674,0.00017999999999999998
1675,8.499999999999999e-05
1676,0.00013000000000000002
1677,0.00036899999999999997
1678,6.37e-05
1679,5e-05
1680,8.999999999999999e-05
1681,0.0004440000000000001
1682,8e-06
1683,0.00015900000000000002
1684,0.00818
1685,2.6e-05
1686,0.00014
